Model,scenario,obj_value,number_of_EVs,Demand,AvailabeType_4,InstalledType_4,AvailabeType_8,InstalledType_8,AvailabeType_19,InstalledType_19,Time
FCFS,1145,9100.0,35,675.0,3,1,5,1,4,3,98.33625268936157
FCFS,1146,11100.0,35,658.0,2,0,4,3,4,3,8.986723184585571
FCFS,1147,9900.0,35,610.0,2,1,4,3,4,2,12.946983814239502
FCFS,1148,8700.0,35,525.0,2,2,4,3,3,1,10.771590232849121
FCFS,1149,8700.0,35,512.0,2,2,4,3,3,1,41.316559076309204
FCFS,1150,10400.0,35,623.0,2,0,4,4,4,2,19.867225885391235
FCFS,1151,9200.0,35,608.0,2,1,4,4,4,1,63.85291075706482
FCFS,1152,9400.0,35,581.0,2,2,4,2,4,2,20.271325826644897
FCFS,1153,10100.0,35,735.0,3,2,5,1,4,3,47.95047926902771
FCFS,1154,10900.0,35,628.0,2,2,4,3,4,2,22.840780019760132
FCFS,1155,11400.0,35,674.0,3,1,5,4,4,2,24.087761878967285
FCFS,1156,9900.0,35,593.0,2,1,4,3,4,2,20.51330041885376
FCFS,1157,9900.0,35,629.0,2,1,4,3,4,2,16.439820289611816
FCFS,1158,10400.0,35,676.0,3,3,5,2,4,2,14.717856168746948
FCFS,1159,10900.0,35,594.0,2,2,4,3,4,2,12.303829431533813
FCFS,1160,9400.0,35,585.0,2,2,4,2,4,2,56.19366955757141
FCFS,1161,10900.0,35,702.0,3,2,5,3,4,2,49.46882939338684
FCFS,1162,10100.0,35,621.0,2,2,4,1,4,3,13.789973735809326
FCFS,1163,13100.0,35,705.0,3,2,5,3,4,3,12.955352306365967
FCFS,1164,9400.0,35,637.0,2,2,4,2,4,2,19.769303798675537
FCFS,1165,14600.0,35,735.0,3,2,5,4,4,3,7.729427814483643
FCFS,1166,10400.0,35,713.0,3,3,5,2,4,2,14.68924331665039
FCFS,1167,8900.0,35,608.0,2,0,4,3,4,2,11.338845491409302
FCFS,1168,8100.0,35,585.0,2,0,4,1,4,3,150.30416059494019
FCFS,1169,8100.0,35,640.0,2,0,4,1,4,3,55.03902244567871
