,Minute_of_day,reference,November,Active_Occupancy,Total_lighting,CHEST_FREEZER,FRIDGE_FREEZER,FRIDGE,UPRIGHT_FREEZER,ANSWER_MACHINE,CD_PLAYER,CLOCK,PHONE,HIFI,IRON,VACUUM,FAX,PC,PRINTER,TV1,TV2,TV3,VCR_DVD,RECEIVER,HOB,OVEN,MICROWAVE,KETTLE,SMALL_COOKING
112,113,01:52:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
113,114,01:53:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
114,115,01:54:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
115,116,01:55:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
116,117,01:56:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
117,118,01:57:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
118,119,01:58:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
119,120,01:59:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
120,121,02:00:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
121,122,02:01:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
122,123,02:02:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
123,124,02:03:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
124,125,02:04:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
125,126,02:05:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
126,127,02:06:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
