,offer_01,offer_02,offer_03,offer_04,offer_05,offer_06,offer_07,offer_08,offer_09,offer_010,offer_011,offer_012,offer_013,offer_014,offer_015,offer_016,offer_017,bids_01,bids_02,bids_03,bids_04,bids_05,bids_06,bids_07,bids_08,bids_09,bids_010,bids_011,bids_012,bids_013,bids_014,bids_015,bids_016,bids_017,Time,Iteration
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.149719,0.159278,0.145968,0.098658,0.122782,0.337402,0.131166,0.13308,0.176011,0.133902,0.151032,0.214016,0.232521,0.393233,0.098969,0.150937,0.144939,27,2
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.196136,0.279565,0.285529,0.390475,0.202185,0.16315,0.19649,0.270222,0.249174,0.261668,0.235273,0.456092,0.136033,0.232135,0.278815,0.234076,0.194857,28,2
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.555428,0.759867,0.667901,0.647749,0.654292,0.384685,0.729644,0.807042,0.657572,0.905098,0.512986,0.558602,0.526033,0.690636,0.17932,0.369075,0.657696,29,2
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.463602,0.556506,0.469214,0.314474,0.468336,0.638522,0.4383,0.593049,0.520232,0.121549,0.130659,0.342289,0.261245,0.135184,0.346154,0.367852,0.472139,30,2
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.259208,0.640678,0.244551,0.282359,0.465855,0.138004,0.467706,0.505004,0.496564,0.114674,0.236669,0.362134,0.165158,0.580372,0.590751,1.422868,0.51185,31,2
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.340251,0.430157,0.133002,0.245368,0.144531,0.297158,0.311328,0.378405,0.2548,0.134096,0.205397,0.234516,0.284502,0.117682,0.58701,0.172748,0.367554,32,2
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.146723,0.301366,0.137734,0.186025,0.431167,0.256566,0.258315,0.32453,0.135103,0.15276,0.200043,0.225297,0.218318,0.154866,0.251153,0.155058,0.31482,33,2
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119676,0.174251,0.112718,0.113729,0.106171,0.170188,0.156044,0.179735,0.227497,0.107735,0.12971,0.163825,0.12335,0.302347,0.219381,0.129452,0.185277,34,2
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082892,0.088004,0.082559,0.084935,0.088552,0.113994,0.094854,0.136111,0.116049,0.082407,0.084133,0.082525,0.08713,0.129834,0.163986,0.335371,0.153686,35,2
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.079426,0.080423,0.080863,0.224167,0.138229,0.130204,0.077775,0.090958,0.082192,0.076258,0.08131,0.120718,0.067369,0.108556,0.145039,0.080351,0.074031,36,2
